id,Exclude_MS,Reason ID_MS,Exclude_GC,Reason ID_GC,Review_GC,Comments_GC
73,True,3.0,False,,Unclear,No abstract - would need to see full paper
426,False,,True,4.0,Exclude,Animal study
55,True,3.0,False,,Unclear,"Likely to be accidental , but might include some intentional foreign objects"
322,True,3.0,False,,,
289,True,3.0,False,,Unclear,"Likely to be accidental , but might include some intentional "
77,True,3.0,False,,Unclear,Could well include intentional coin ingestion
437,True,3.0,False,,Unclear,Could well include intentional foreign object ingestion
33,True,3.0,False,,Unclear,Could well include intentional coin ingestion
317,True,3.0,False,,Unclear,Likely to include intentional ingestion
167,False,,True,3.0,Exclude,Accidental
